sentiment,review_body,product_category
-1,The cut of this piece is great  the quality of the fabric is terrible. i used it under another layer the first day i wore it and it pilled across the bust. after hand washing in cold water and hanging to dry it shrank in length- so much that i can no longer even wear it. i always happily pay a premium for quality staple wardrobe pieces. this didn't hold up to one wearing  let alone one season. i recommend strongly against it.,Blouses
-1,I'm usually a maeve fan. i found this top to look cheap and fit poorly. it is also very thin material and showed everything.,Blouses
-1,This is a sweet top as it is shown. on the model it appears there is a panel behind the lace on the front of the top. this is not so-the entire front of the top is see through. one would need to wear a camisole. the material on the blouse is very sheer-it appears to be rather cheap actually. if you are wearing a top this sheer it does not make sense to have a camisole on underneath. that said you are going to be able to see your bra and skin down to your belly button if you do not have a camisol,Blouses
-1,This top is huge! i'm typically a size 2 or 4. i bought the 2 and its huge. it's wider than it is long. even if i sized down to a 0 it would still be too much fabric. i'm so disappointed! beautiful color and fabric but there's so much fabric. i love a flowy top but this one is way too much. :( i will be returning this top.,Blouses
-1,Was going to order this top in orange but could not decide what size. i am either a large or xl. i found that the top was in stock in a local retailer in white and went to try it for size. first  the top is huge. i tried the large on and it fit me across the bust and shoulders nicely. the rest of the top was like a large tent. the white is an off white and really is not attractive looking. in fact  in the store  it was displayed with a jacket over it. online  the orange looks completely different ,Blouses
-1,I loved this shirt when it first arrived and i couldn't wait to wear it. after one day of wear  i went to hang the shirt back up and it was ripping on both sides of the middle back seem. this shirt was not tight on me at all. very disappointed.,Blouses
-1,As someone with a large chest and a smaller waist  i found this top incredibly unflattering (and i like swingy tops). it was too short  too wide in the hips  and too tight in the bust. the pattern and fabric are very pretty though.,Blouses
-1,The title says it all....this fabric of this top is both the best and worst part of the design. the colors are vibrant and the combination of materials (shoulder is a knit  sweater-like navy fabric) is interesting. however  that is where the positive comments end on this one. the top is so scratchy   stiff  and  frankly  uncomfortable. i cannot imagine wanting to wear it. it could benefit from a lining  and that might have solved the problem of scratchy  itchy fabric.  the stiff fabric of the bo,Blouses
-1,I had such high hopes for this blouse  as it looks totally stunning online. however  it's not as pictured/described in that it is totally sheer and the brand is not floreat  but rather hd in paris. for the price  the quality is just not there...i've seen comparable shirts at other stores for much less. i returned it without a second thought.,Blouses
0,Too pricey for the quality of this imported product.,Blouses
0,I like the color and the plaid pattern on this top. the material is soft to the touch and despite being petite  i bought the regular length to pair with tights. it has the feel of a baby doll because of the longer length on me. i quite like the feminine cut of the top which makes it slightly unique as far as plaid tops go. the material also doesn't feel too flimsy or cheap and the top feels well made. it will not be hard to reach for this item as it is a versatile piece  as many reviewers have n,Blouses
0,This brand has odd fitting of late. i normally wear a m in retailer tops but i had to size up to 12 on this shirt as it was tight across my chest. i am a b cup and had a sports bra on when i tried it. brought it home and tried on with a regular  non pushup bra and it pulls slightly. i might return it because my guess is that it will shrink when washed. otherwise  its a cute tunic style top.,Blouses
0,I really liked the top once i saw it  but it needs to be worn with a cami underneath. the fabric is a little stiff. it runs true to size and it fits like a peplum top with extra space around the waist. the top is not really crocheted by hand it was done by machine  but it is a nice top.,Blouses
0,Loved the idea of this but content felt too thin and sheer.,Blouses
0,Great idea  but this was not a flattering top on me. it almost worked  but ended up making me look like i am pregnant?not a look i am striving to achieve?it has potential and maybe others with a different body type may have success. ( i am curvy on bottom and have a long torso) for the price  it did not justify a place in my closet?,Blouses
0,I was very disappointed to receive this and to note that the blouse has no ruffle down the front as pictured. there is no ruffle anywhere on the blouse. i am likely still going to keep it because i like the pattern  but the ruffle was what interested me for a cute work blouse and i want other shoppers to know that the blouse actually includes no ruffle when you order it.,Blouses
0,Beautiful top  the silk was good quality  not thin. ordered a 6 because it was selling out so quickly  wished i could have ordered the 4. will definitely try if they come back in stock.,Blouses
0,I really wanted to love this top when i got it  but not so much. it fit nicely through the bust and torso  but flared out way too much  it ended up looking like a maternity top. maybe because i am more of an hourglass shape. another thing  it was very low cut  i would not have been able to wear this without a cami underneath. the fabric didn't seem to be the best quality  it also had a funny smell too it when i took it out of the package. this shirt was not worth the price. sadly  this was a mis,Blouses
1,A nice rayon peasant shirt - like the sleeve length. good for a fuller figure  covers all the bad sports and very comfortable.,Blouses
1,I ordered the black and it was a soft black  which i loved. i felt like the shirt was a little boxy (i was hoping the top would have been a bit more fitted (the arm holes are loose) and the bottom a little longer  but i like it enough that i am keeping it. works well to wear to work.,Blouses
1,"This top is drop-dead adorable  very well made  and a flattering fit. i noticed other reviewers saying it is wide and short  but that was not my experience. it's a slight ""swing"" or ""trapeze"" shape  but fitted through the shoulders. so  if you are small-shouldered and small in the chest - this is a very  very cute top. for reference  i am 5'4"" and a 32c - and i took a size 2. perfect when paired with dark skinnies or capris. it's also delightfully well made with excellent detailing - the cute vi",Blouses
1,Love this shirt! it is great quality and fits true to size in a comfy not too fitted way that a button down should fit. i love that it is a classic white cotton shirt with a modern edge with the little bit of fringing on the bottom and sleeve cuffs. it's great to wear with jeans or leggings and i can even see dressing it up or down depending on the accessories worn. i have already gotten lots of compliments when wearing it....everyone wants to get it for themselves! i'd even get it in another co,Blouses
1,I bought this blouse on sale in a medium because it was the last one left in the store. i usually wear a large  but surprisingly it fit. i'm a woman of color  and the off white and lace looks great with my complexion. i got many compliments on the blouse as i made my way to the register to check out. i can't wait to wear it this spring. i'll have to be careful when wearing this blouse because one good snag with a fingernail  or necklace and the lace will be torn. other than that  i'm very happy,Blouses
1,This tunic is beautiful! the color is a vibrant blue. i can wear it with jeans or dress it up with my white linen capris! i ordered the small and it fits me perfectly!!!,Blouses
1,I love this shirt!!! the front is a little shorter than i thought it would be  but overall  it is so cute and comfy!! wish they had it in more colors!!,Blouses
1,Love the block appearance. looks exactly like on the model ! material again could have been better. dry clean only  so expensive wear. price per wear may be high due to that as each time you dry clean price actually goes up and use goes down.,Blouses
1,The material is nice and of good thick  quality. feels a bit stiff due to the lovely embroidery. unfortunately this top runs large and is not fitted at all. as the material is thick and stiff it does not drape well which makes for an unflattering look.,Blouses
-1,To be clear i am not built like your models but the biggest problem was the way in which it tented out from the bustline down,Dresses
-1,"I'm 5'4"" 120#   34d. this dress did nothing for me. the seem on the side with the knot doesn't look right. it's almost on the side but not really. there's a seem down the center of the butt from the waist. it looks weird from the back because it's such a fine striped print. not flattering at all. the dress is comfortable due to the stretchy knit and it has a stretchy knit lining. hit me just a bit lower than on the model.",Dresses
-1,I ordered online. i sized up one size. it fit perfect. so flattering and so pretty. then i tried to take it off and the zipper stuck...badly. 30 minutes later i was sadly packing it up to ship back. the zipper is that awful.,Dresses
-1,The cut of the bodice is very strange and unflattering. it is great quality  but designed poorly. returned it.,Dresses
-1,According to the label  this dress can be hand washed or dry cleaned. i hand washed and line dried per the instructions on the label  and all the seams have completely shrunk and gathered. it looks like there's a drawstring running through every seam. so disappointed in the quality and the labeling. awful! i gave it one extra star because it's cute.,Dresses
-1,I was so excited to get this classic-looking retailer dress- i love the ladylike shape and whimsical print. the popsicle print on this dress is really  truly adorable. unfortunately  the dress is cut really weird and it made me feel like screaming: i bought a size two and it was snug and gaping at the chest (and i'm only a 32b  ladies  so be warned!) at the same time  the arm holes were huge  i mean massively big. i think if you have a swimmer's body this might work. otherwise  you'll for sure nee,Dresses
-1,I love the design and the fabric  but the fit is just off on this dress. the area around the bust is just not fitted well. the wrap portion of the dress in this area gaps and does not lie flat. that is an easy enough fix with a good seamstress  but the waist also sat too high on me (maybe i'm long waisted  who knows?)  so between the super high waist and the flannel-type fabric  it just looked kind of like a bath robe on me. i wish it weren't so. i was so hoping for a cool plaid dress that i cou,Dresses
-1,This dress hangs like a sack. it really needs a belt to give it some shape. i tried to style it with one  but then didn't look right either. i did like the slip that came with it. i'll be returning it.,Dresses
